video,frame,blur,reprojection_error
example.mp4,0,47.32,0.083031
example.mp4,7,68.01,0.096737
example.mp4,10,33.11,0.103341
example.mp4,13,23.87,0.108282
example.mp4,16,39.81,0.112883
example.mp4,20,43.45,0.118851
example.mp4,23,13.61,0.123314
example.mp4,26,45.61,0.122618
example.mp4,29,42.51,0.125188
example.mp4,31,44.38,0.126119
example.mp4,33,20.14,0.125939
example.mp4,35,24.44,0.123049
example.mp4,37,16.64,0.121533
example.mp4,40,41.06,0.117278
example.mp4,49,14.99,0.103998
example.mp4,52,27.87,0.100389
example.mp4,54,26.36,0.099214
example.mp4,57,52.64,0.093817
example.mp4,60,24.54,0.091572
example.mp4,63,35.38,0.087127
example.mp4,66,59.67,0.085992
example.mp4,69,35.10,0.083381
example.mp4,71,13.59,0.083515
example.mp4,72,17.65,0.080963
example.mp4,73,15.27,0.078473
example.mp4,74,15.01,0.080254
example.mp4,75,10.57,0.077070
example.mp4,79,10.71,0.072574
example.mp4,80,11.03,0.071532
example.mp4,81,15.16,0.074622
example.mp4,82,13.18,0.074761
example.mp4,83,11.98,0.078362
example.mp4,84,11.45,0.075470
example.mp4,85,12.40,0.076765
example.mp4,86,12.57,0.078458
example.mp4,87,13.48,0.082044
example.mp4,88,10.59,0.084153
example.mp4,90,13.07,0.088992
example.mp4,91,16.21,0.083978
example.mp4,92,17.64,0.085681
example.mp4,93,37.67,0.086959
example.mp4,94,21.77,0.085673
example.mp4,95,17.67,0.085159
example.mp4,96,47.47,0.085660
example.mp4,97,56.72,0.088853
example.mp4,110,17.17,0.095814
example.mp4,111,15.10,0.097965
example.mp4,112,14.97,0.097746
example.mp4,113,15.34,0.094940
example.mp4,114,14.33,0.096586
example.mp4,115,14.04,0.097189
example.mp4,116,12.92,0.099441
example.mp4,117,12.09,0.099773
example.mp4,118,11.66,0.099167
example.mp4,119,12.21,0.097686
example.mp4,120,15.07,0.100767
example.mp4,121,13.72,0.098469
example.mp4,122,13.68,0.100366
example.mp4,123,13.16,0.098744
example.mp4,124,12.42,0.100700
